Hour,R0ad_name,Direction,Location,Time_Spend,Type,Dead,Injury,inside shoulder,inner lane,Nakauchi Lane,middle lane,Chinese and foreign lanes,outer lane,outer shoulder,ramp,capsize accident,construction accident,Dangerous goods vehicles,vehicle fire,Smoke car accident,Mainline interruption,branch, Category, crash car count,datetime,is_death,is_injury,car_type1_ratio,car_type2_ratio,car_type3_ratio,car_type4_ratio,car_type5_ratio
11,10010,1,88,11,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Train,2,2023/2/10 11:37,FALSE,FALSE,1,0,0,0,0
11,10030,1,76.6,40,A2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,Train,1,2023/2/10 11:31,FALSE,TRUE,1,0,0,0,0
13,10010,2,24.9,14,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Train,2,2023/2/10 13:11,FALSE,FALSE,1,0,0,0,0
12,10010,2,34,12,A3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Train,3,2023/2/10 12:18,FALSE,FALSE,1,0,0,0,0
14,10010,1,51,14,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Train,5,2023/2/10 14:54,FALSE,FALSE,1,0,0,0,0
15,10010,1,31.5,5,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Train,2,2023/2/10 15:31,FALSE,FALSE,0,0,1,0,0
15,10030,2,48.2,3,A3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Train,2,2023/2/10 15:47,FALSE,FALSE,1,0,0,0,0
15,10010,2,92,14,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Train,2,2023/2/10 15:48,FALSE,FALSE,1,0,0,0,0
16,10030,2,32.9,32,A3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,Train,6,2023/2/10 16:13,FALSE,FALSE,1,0,0,0,0
16,10010,1,18.3,14,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Train,2,2023/2/10 16:40,FALSE,FALSE,0.5,0.5,0,0,0
17,10010,2,17,3,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Train,2,2023/2/10 17:19,FALSE,FALSE,1,0,0,0,0
17,10030,2,103,8,A3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Train,2,2023/2/10 17:23,FALSE,FALSE,0.5,0,0,0.5,0
17,10010,1,57.7,9,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Train,2,2023/2/10 17:29,FALSE,FALSE,1,0,0,0,0
17,10010,2,51.1,9,A3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,Train,2,2023/2/10 17:59,FALSE,FALSE,1,0,0,0,0
17,10030,2,90.3,14,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Train,2,2023/2/10 17:58,FALSE,FALSE,1,0,0,0,0
18,10020,4,10.8,10,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Train,2,2023/2/10 18:11,FALSE,FALSE,0.5,0.5,0,0,0
17,10030,2,52.8,35,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Train,2,2023/2/10 17:47,FALSE,FALSE,1,0,0,0,0
18,10010,1,87.6,7,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Train,2,2023/2/10 18:27,FALSE,FALSE,1,0,0,0,0
15,10030,1,42,6,A3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Train,2,2023/7/17 15:27,FALSE,FALSE,1,0,0,0,0
15,10030,2,68.2,41,A2,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,Train,2,2023/7/17 15:59,FALSE,TRUE,0.5,0,0.5,0,0
16,10010,2,64,10,A3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Train,2,2023/7/17 16:44,FALSE,FALSE,0,1,0,0,0
16,10010,1,32,10,A3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Train,2,2023/7/17 16:55,FALSE,FALSE,0.5,0,0.5,0,0
17,10010,1,91,2,A3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Train,2,2023/7/17 17:19,FALSE,FALSE,1,0,0,0,0
17,10030,2,102.4,8,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Train,3,2023/7/17 17:44,FALSE,FALSE,0.666666667,0,0.333333333,0,0
18,10030,2,64.6,19,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Train,2,2023/2/10 18:42,FALSE,FALSE,1,0,0,0,0
17,10010,2,82.5,28,A3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Train,1,2023/7/17 17:26,FALSE,FALSE,1,0,0,0,0
18,10010,2,18,3,A3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Train,2,2023/7/17 18:21,FALSE,FALSE,1,0,0,0,0
18,10010,1,98.7,8,A3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Train,2,2023/7/17 18:17,FALSE,FALSE,0.5,0,0.5,0,0
18,10010,2,18,8,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Train,2,2023/7/17 18:46,FALSE,FALSE,1,0,0,0,0
19,10010,1,33.1,4,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Train,2,2023/7/17 19:19,FALSE,FALSE,1,0,0,0,0
19,10010,2,95.2,4,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Train,3,2023/7/17 19:25,FALSE,FALSE,1,0,0,0,0
19,10030,2,13.5,28,A3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Train,2,2023/7/17 19:13,FALSE,FALSE,1,0,0,0,0
22,10030,1,35,30,A3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,Train,2,2023/7/17 22:21,FALSE,FALSE,0,0,0.5,0,0.5
6,10010,2,15,7,A3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Train,2,2023/7/18 06:55,FALSE,FALSE,1,0,0,0,0
18,10030,2,43.6,5,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Train,2,2023/2/10 18:47,FALSE,FALSE,1,0,0,0,0
18,10030,2,60.9,6,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Train,2,2023/2/10 18:53,FALSE,FALSE,1,0,0,0,0
18,10030,2,64.6,19,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Train,2,2023/2/10 18:42,FALSE,FALSE,1,0,0,0,0
19,10010,2,31.9,11,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Train,2,2023/2/10 19:25,FALSE,FALSE,1,0,0,0,0
19,10010,2,87.4,20,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Train,3,2023/2/10 19:53,FALSE,FALSE,0.666666667,0,0.333333333,0,0
20,10010,1,27,25,A3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,Train,2,2023/2/10 20:29,FALSE,FALSE,1,0,0,0,0
20,10010,1,50.7,17,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Train,2,2023/2/10 20:50,FALSE,FALSE,1,0,0,0,0
21,10010,2,43.9,6,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Train,2,2023/2/10 21:35,FALSE,FALSE,1,0,0,0,0
19,10010,2,35.9,110,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Train,1,2023/2/10 19:58,FALSE,FALSE,0,1,0,0,0
0,10010,1,39.4,10,A3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Train,2,2023/2/11 00:51,FALSE,FALSE,1,0,0,0,0
7,10030,2,16,8,A3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Train,2,2023/2/11 07:13,FALSE,FALSE,1,0,0,0,0
7,10010,2,46.8,14,A3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Train,2,2023/7/18 07:40,FALSE,FALSE,1,0,0,0,0
7,10030,1,61.3,51,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Train,3,2023/7/18 07:06,FALSE,FALSE,1,0,0,0,0
8,10010,1,37.3,4,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Train,2,2023/7/18 08:03,FALSE,FALSE,1,0,0,0,0
8,10010,1,9,29,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Train,3,2023/7/18 08:41,FALSE,FALSE,0.666666667,0,0.333333333,0,0
15,10010,1,197.7,4,A3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,2,2023/6/21 15:15,FALSE,FALSE,1,0,0,0,0
15,10030,1,194.6,10,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,Train,2,2023/6/21 15:00,FALSE,FALSE,0.5,0,0.5,0,0
14,10010,1,203.7,21,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,4,2023/6/21 14:51,FALSE,FALSE,1,0,0,0,0
14,10010,1,207,4,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,2,2023/6/21 14:17,FALSE,FALSE,0.5,0,0.5,0,0
13,10010,1,212.6,19,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,4,2023/6/21 13:54,FALSE,FALSE,1,0,0,0,0
12,10030,2,221.6,48,A3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,Train,2,2023/6/21 12:32,FALSE,FALSE,0.5,0,0.5,0,0
10,10010,2,198,2,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,2,2023/6/21 10:56,FALSE,FALSE,1,0,0,0,0
10,10010,2,195,51,A2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,Train,3,2023/6/21 10:29,FALSE,TRUE,0,0.333333333,0.666666667,0,0
8,10010,1,167.4,37,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,2,2023/6/21 08:49,FALSE,FALSE,1,0,0,0,0
8,10010,1,167.5,19,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,2,2023/6/21 08:25,FALSE,FALSE,1,0,0,0,0
4,10030,2,202.1,277,A2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,Train,1,2023/6/20 04:11,FALSE,FALSE,0,1,0,0,0
0,10010,2,224.2,40,A2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,3,2023/6/20 00:16,FALSE,TRUE,0.666666667,0.333333333,0,0,0
22,10010,2,200.2,24,A2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,Train,1,2023/6/20 22:25,FALSE,TRUE,1,0,0,0,0
21,10010,2,117.6,14,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,Train,2,2023/6/20 21:06,FALSE,FALSE,1,0,0,0,0
19,10010,1,108,56,A2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,Train,4,2023/6/20 19:14,FALSE,TRUE,1,0,0,0,0
17,10030,1,253,43,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,Train,2,2023/6/20 17:47,FALSE,FALSE,1,0,0,0,0
16,10010,1,171.8,8,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,2,2023/6/20 16:27,FALSE,FALSE,1,0,0,0,0
11,10010,1,168.5,15,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,1,2023/6/20 11:46,FALSE,FALSE,1,0,0,0,0
11,10010,2,197.5,5,A3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,Train,2,2023/6/20 11:17,FALSE,FALSE,1,0,0,0,0
11,10010,1,169,43,A2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,Train,6,2023/6/20 11:22,FALSE,TRUE,0.5,0,0.333333333,0.166666667,0
8,10030,1,213.4,35,A2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,Train,3,2023/6/20 08:23,FALSE,TRUE,0.666666667,0,0,0,0.333333333
7,10030,2,194,26,A3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,Train,3,2023/6/20 07:57,FALSE,FALSE,1,0,0,0,0
1,10030,2,231,21,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,Train,1,2023/6/20 01:40,FALSE,FALSE,1,0,0,0,0
21,10010,2,224.7,5,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,2,2023/6/19 21:45,FALSE,FALSE,1,0,0,0,0
21,10010,2,224,2,A3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,Train,2,2023/6/19 21:19,FALSE,FALSE,1,0,0,0,0
21,10030,2,113.6,37,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,Train,2,2023/6/19 21:47,FALSE,FALSE,0.5,0.5,0,0,0
14,10010,2,149.3,17,A3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,Train,2,2023/6/19 14:45,FALSE,FALSE,1,0,0,0,0
14,10010,2,119.2,32,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,Train,2,2023/6/19 14:43,FALSE,FALSE,1,0,0,0,0
13,10010,1,203,9,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,Train,1,2023/6/19 13:52,FALSE,FALSE,1,0,0,0,0
13,10010,2,227,15,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,2,2023/6/19 13:00,FALSE,FALSE,0.5,0,0.5,0,0
12,10010,2,114.9,2,A3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,Train,2,2023/6/19 12:00,FALSE,FALSE,1,0,0,0,0
11,10030,1,203,32,A3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,Train,2,2023/6/19 11:45,FALSE,FALSE,0.5,0,0.5,0,0
11,10030,2,141,87,A1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,Train,2,2023/6/19 11:36,TRUE,FALSE,0,0,0.5,0,0.5
8,10010,2,173.7,3,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,2,2023/6/19 08:57,FALSE,FALSE,1,0,0,0,0
8,10040,4,22.2,19,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,2,2023/6/19 08:13,FALSE,FALSE,1,0,0,0,0
7,10040,4,22.2,8,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,2,2023/6/19 07:32,FALSE,FALSE,1,0,0,0,0
7,10030,2,177.1,15,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,2,2023/6/19 07:30,FALSE,FALSE,1,0,0,0,0
3,10010,1,231,39,A2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,2,2023/6/19 03:32,FALSE,TRUE,1,0,0,0,0
23,10010,1,206.3,26,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,2,2023/6/18 23:12,FALSE,FALSE,0.5,0,0.5,0,0
17,10060,4,1.8,25,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,3,2023/6/18 17:27,FALSE,FALSE,0.666666667,0,0.333333333,0,0
17,10010,2,205,16,A3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,Train,2,2023/6/18 17:09,FALSE,FALSE,1,0,0,0,0
20,10030,2,249.8,30,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,3,2023/7/31 20:36,FALSE,FALSE,1,0,0,0,0
18,10040,3,14,26,A2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,Train,3,2023/7/31 18:12,FALSE,TRUE,0.666666667,0,0.333333333,0,0
12,10010,1,203.7,3,A3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,Train,2,2023/7/31 12:25,FALSE,FALSE,0.5,0,0,0,0.5
12,10010,1,198.4,12,A3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,Train,2,2023/7/31 12:27,FALSE,FALSE,1,0,0,0,0
12,10010,1,103.6,2,A3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,Train,2,2023/7/31 12:05,FALSE,FALSE,0.5,0.5,0,0,0
12,10030,2,224,50,A2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,Train,3,2023/7/31 12:09,FALSE,TRUE,0.666666667,0,0.333333333,0,0
10,10010,1,110.4,16,A3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,Train,1,2023/7/31 10:31,FALSE,FALSE,1,0,0,0,0
10,10010,1,169,4,A3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,Train,2,2023/7/31 10:02,FALSE,FALSE,0.5,0,0.5,0,0
10,10010,1,217,56,A2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,8,2023/7/31 10:32,FALSE,TRUE,1,0,0,0,0
8,10010,1,211,16,A2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,Train,1,2023/7/31 08:16,FALSE,TRUE,1,0,0,0,0
23,10010,1,249.3,9,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,1,2023/7/30 23:09,FALSE,FALSE,1,0,0,0,0
22,10010,2,198,41,A2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,3,2023/7/30 22:37,FALSE,TRUE,1,0,0,0,0
21,10030,2,216.5,6,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,Train,2,2023/7/30 21:40,FALSE,FALSE,1,0,0,0,0
19,10010,2,169.5,11,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,2,2023/7/30 19:52,FALSE,FALSE,1,0,0,0,0
16,10030,2,122.3,8,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,2,2023/7/30 16:19,FALSE,FALSE,1,0,0,0,0
16,10060,4,1.9,7,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,Train,3,2023/7/30 16:10,FALSE,FALSE,1,0,0,0,0
15,10030,2,119,4,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,2,2023/7/30 15:56,FALSE,FALSE,1,0,0,0,0
15,10030,2,235.3,11,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,3,2023/7/30 15:59,FALSE,FALSE,1,0,0,0,0
16,10010,2,102.5,21,A3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,Train,2,2023/7/30 16:09,FALSE,FALSE,1,0,0,0,0
15,10010,2,235,8,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,2,2023/7/30 15:23,FALSE,FALSE,1,0,0,0,0
14,10010,1,198.4,17,A3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,Train,1,2023/7/30 14:09,FALSE,FALSE,1,0,0,0,0
14,10030,1,217.9,65,A3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,Train,1,2023/7/30 14:23,FALSE,FALSE,0,0,1,0,0
11,10010,2,117.5,2,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,2,2023/7/30 11:37,FALSE,FALSE,1,0,0,0,0
5,10010,2,127.7,52,A2,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,Train,3,2023/7/30 05:00,FALSE,TRUE,0.666666667,0.333333333,0,0,0
0,10060,4,29,26,A3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,Train,1,2023/7/29 00:11,FALSE,FALSE,1,0,0,0,0
20,10030,1,248.2,6,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,Train,2,2023/7/29 20:46,FALSE,FALSE,1,0,0,0,0
19,10030,2,185.5,21,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,2,2023/7/29 19:00,FALSE,FALSE,1,0,0,0,0
18,10030,2,184.3,23,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,1,2023/7/29 18:58,FALSE,FALSE,1,0,0,0,0
18,10040,3,10,24,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,Train,2,2023/7/29 18:46,FALSE,FALSE,1,0,0,0,0
18,10010,1,164.8,14,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,2,2023/7/29 18:21,FALSE,FALSE,1,0,0,0,0
17,10010,2,189,10,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,2,2023/7/29 17:58,FALSE,FALSE,1,0,0,0,0
18,10030,1,172.4,27,A3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,Train,3,2023/7/29 18:02,FALSE,FALSE,1,0,0,0,0
18,10030,1,175,44,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,3,2023/7/29 18:00,FALSE,FALSE,1,0,0,0,0
16,10030,1,184.7,19,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,1,2023/7/29 16:48,FALSE,FALSE,1,0,0,0,0
16,10010,1,160.3,7,A3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,Train,2,2023/7/29 16:02,FALSE,FALSE,1,0,0,0,0
14,10030,1,213.9,5,A3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,Train,2,2023/7/29 14:19,FALSE,FALSE,1,0,0,0,0
13,10040,3,28,30,A3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,Train,1,2023/7/29 13:27,FALSE,FALSE,1,0,0,0,0
11,10010,1,174.2,14,A3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,Train,1,2023/7/29 11:02,FALSE,FALSE,1,0,0,0,0
9,10010,1,199,8,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,2,2023/7/29 09:12,FALSE,FALSE,1,0,0,0,0
9,10010,1,204,4,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,5,2023/7/29 09:08,FALSE,FALSE,1,0,0,0,0
8,10010,1,202.7,4,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,Train,2,2023/7/29 08:35,FALSE,FALSE,1,0,0,0,0
6,10010,2,224.1,18,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,Train,2,2023/7/29 06:39,FALSE,FALSE,0.5,0,0,0,0.5
5,10010,2,201,41,A3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,Train,1,2023/7/29 05:18,FALSE,FALSE,1,0,0,0,0
23,10010,1,229.2,36,A3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,Train,8,2023/7/28 23:21,FALSE,FALSE,1,0,0,0,0
21,10030,2,156.8,38,A1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,Train,1,2023/7/28 21:48,TRUE,FALSE,1,0,0,0,0
20,10040,3,15.3,35,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Train,2,2023/7/28 20:48,FALSE,FALSE,1,0,0,0,0
9,10031,3,4.5,9,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Train,2,2023/7/18 09:31,FALSE,FALSE,0.5,0,0.5,0,0
9,10010,1,10,19,A3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Train,2,2023/7/18 09:56,FALSE,FALSE,1,0,0,0,0
10,10010,2,25.5,2,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Train,2,2023/7/18 10:21,FALSE,FALSE,1,0,0,0,0
10,10010,1,62.5,42,A2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Train,2,2023/7/18 10:34,FALSE,TRUE,0.5,0,0.5,0,0
12,10010,2,41,7,A3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Train,2,2023/7/18 12:00,FALSE,FALSE,1,0,0,0,0
13,10010,2,25.2,13,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Train,2,2023/7/18 13:25,FALSE,FALSE,1,0,0,0,0
13,10010,1,51.5,11,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Train,2,2023/7/18 13:29,FALSE,FALSE,1,0,0,0,0
14,10010,1,27,6,A3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Train,2,2023/7/18 14:54,FALSE,FALSE,1,0,0,0,0
15,10010,2,34.2,34,A2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Train,4,2023/7/18 15:10,FALSE,TRUE,0.5,0,0.5,0,0
15,10010,2,35.3,8,A3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Train,2,2023/7/18 15:40,FALSE,FALSE,1,0,0,0,0
15,10010,1,57.4,7,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Train,2,2023/7/18 15:56,FALSE,FALSE,0,0,1,0,0
